population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Turkmenistan,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0233885633946157,0.0268794134633216,0.0201317008342545
All Population,Prevalence,Turkmenistan,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0334659883195878,0.0385225749719524,0.0287068115803458
All Population,Prevalence,Turkmenistan,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0291556036215383,0.0333958650853494,0.0251207363869208
All Population,Prevalence,Saint Lucia,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,543.6423874284628,631.016923814425,461.3335788733503
All Population,Prevalence,Saint Lucia,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,785.6831695911255,916.3437139132664,657.4213455533204
All Population,Prevalence,Saint Lucia,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,1329.325557019588,1547.041519611255,1119.1863747403927
All Population,Prevalence,Saint Lucia,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0359828821949131,0.0417644295159733,0.0305348535682958
All Population,Prevalence,Saint Lucia,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0474520416188116,0.0553427737961032,0.0397049368916748
All Population,Prevalence,Saint Lucia,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0419798808124303,0.0488554971352272,0.035343833045333
All Population,Prevalence,United Kingdom,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,349865.9350466532,407356.9615266373,286802.7551452889
All Population,Prevalence,United Kingdom,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,651325.2958021445,755761.3613532975,538883.7451770862
All Population,Prevalence,United Kingdom,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,1001191.230848797,1165035.8470790614,823843.2872171431
All Population,Prevalence,United Kingdom,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0434800380750421,0.0506282678606589,0.0356406698073533
All Population,Prevalence,United Kingdom,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0708499372459617,0.0822088612245087,0.0586167316374347
All Population,Prevalence,United Kingdom,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0580750402406614,0.0675832146771242,0.0477866325217388
All Population,Prevalence,Singapore,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,16744.08652072516,19058.90709639738,14607.549839356168
All Population,Prevalence,Singapore,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,28954.39474039071,32334.51090065376,25784.60034246237
All Population,Prevalence,Singapore,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,45698.48126111588,50899.19418685755,40535.48658788938
All Population,Prevalence,Singapore,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0279465527869249,0.0318098027971214,0.0243744307474722
All Population,Prevalence,Singapore,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.047144025451405,0.0526538611648331,0.0419857059384716
All Population,Prevalence,Singapore,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0376641305064081,0.0419534893757303,0.0334137558919627
All Population,Prevalence,Sao Tome and Principe,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,113.32443156881224,130.48690803584282,96.54945898332028
All Population,Prevalence,Sao Tome and Principe,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,231.92078724140652,269.0821275820596,195.102276250258
All Population,Prevalence,Sao Tome and Principe,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,345.2452188102186,397.9422380584596,292.5259131351708
All Population,Prevalence,Sao Tome and Principe,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0175101632349845,0.0201621465253852,0.0149169879134371
All Population,Prevalence,Sao Tome and Principe,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0315923227667111,0.0366541802263925,0.0265757935034345
All Population,Prevalence,Sao Tome and Principe,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0249942759383857,0.0288091951090193,0.0211775025816146
All Population,Prevalence,Solomon Islands,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,544.0027054150664,627.9327371009108,458.3132878471494
All Population,Prevalence,Solomon Islands,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,730.6474802046189,847.187404181565,600.5474114099169
All Population,Prevalence,Solomon Islands,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,1274.6501856196849,1478.0214873631462,1058.4014525206378
All Population,Prevalence,Solomon Islands,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0226638637144589,0.0261609616065214,0.0190947208739554
All Population,Prevalence,Solomon Islands,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0302364151038154,0.0350587707163893,0.0248529253087936
All Population,Prevalence,Solomon Islands,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0264628261108063,0.0306853351589973,0.0219735451033536
All Population,Prevalence,China,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,6785550.39053276,7848820.184553524,5726716.949508536
All Population,Prevalence,China,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,12036918.257166648,13950836.941121308,10120806.269843137
All Population,Prevalence,China,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,18822468.64769942,21750240.39600981,15877612.355121003
All Population,Prevalence,China,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.047765210921959,0.055250712138526,0.0403114684944901
All Population,Prevalence,China,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0780641899187967,0.0904760808931467,0.0656373459954976
All Population,Prevalence,China,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0635350964962795,0.0734149450383817,0.0535942254759876
All Population,Prevalence,Ecuador,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,28830.84749394577,33607.239855375024,24078.713129922096
All Population,Prevalence,Ecuador,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,42529.29950448261,49221.18727658352,36076.93005466935
